indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
Unemployment rate,Unemployment,2013-17,"Georgetown, Burleith/Hillandale",375.41359251,8742.6162489,0.0429406463,unemployed,fewer,adults,more adults in Georgetown and Burleith/Hillandale would be employed.,A higher share of people are employed in Georgetown and Burleith/Hillandale than in
Unemployment rate,Unemployment,2013-17,"West End, Foggy Bottom, GWU",487.8817454,9534.2666075,0.0511713974,unemployed,fewer,adults,"more adults in West End, Foggy Bottom, and GWU would be employed.","A higher share of people are employed in West End, Foggy Bottom, and GWU than in"
Unemployment rate,Unemployment,2013-17,"Dupont Circle, Connecticut Avenue/K Street",466.34342966,15913.363053,0.0293051461,unemployed,fewer,adults,more adults in Dupont Circle and Connecticut Avenue/K Street would be employed.,A higher share of people are employed in Dupont Circle and Connecticut Avenue/K Street than in
Unemployment rate,Unemployment,2013-17,"Shaw, Logan Circle",551.02021451,16047.501187,0.0343368234,unemployed,fewer,adults,more adults in Shaw and Logan Circle would be employed.,A higher share of people are employed in Shaw and Logan Circle than in
Unemployment rate,Unemployment,2013-17,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",780.84262338,13325.02987,0.0585996903,unemployed,fewer,adults,"more adults in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would be employed.","A higher share of people are employed in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
Unemployment rate,Unemployment,2013-17,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",567,7885.7272727,0.0719020555,unemployed,fewer,adults,"more adults in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would be employed.","A higher share of people are employed in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
Unemployment rate,Unemployment,2013-17,"Hawthorne, Barnaby Woods, Chevy Chase",347.98744507,7838.5863151,0.0443941587,unemployed,fewer,adults,"more adults in Hawthorne, Barnaby Woods, and Chevy Chase would be employed.","A higher share of people are employed in Hawthorne, Barnaby Woods, and Chevy Chase than in"
Unemployment rate,Unemployment,2013-17,"Friendship Heights, American University Park, Tenleytown",150.90154178,6930.6913262,0.0217729422,unemployed,fewer,adults,"more adults in Friendship Heights, American University Park, and Tenleytown would be employed.","A higher share of people are employed in Friendship Heights, American University Park, and Tenleytown than in"
Unemployment rate,Unemployment,2013-17,"North Cleveland Park, Forest Hills, Van Ness",214.56086097,7745.6611481,0.0277007807,unemployed,fewer,adults,"more adults in North Cleveland Park, Forest Hills, and Van Ness would be employed.","A higher share of people are employed in North Cleveland Park, Forest Hills, and Van Ness than in"
Unemployment rate,Unemployment,2013-17,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",585.71396631,8461.8174094,0.0692184596,unemployed,fewer,adults,"more adults in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would be employed.","A higher share of people are employed in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
Unemployment rate,Unemployment,2013-17,"Cathedral Heights, McLean Gardens, Glover Park",679.00276359,13325.206116,0.0509562672,unemployed,fewer,adults,"more adults in Cathedral Heights, McLean Gardens, and Glover Park would be employed.","A higher share of people are employed in Cathedral Heights, McLean Gardens, and Glover Park than in"
Unemployment rate,Unemployment,2013-17,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",240.8500292,11165.160242,0.0215715694,unemployed,fewer,adults,"more adults in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would be employed.","A higher share of people are employed in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
Unemployment rate,Unemployment,2013-17,"Colonial Village, Shepherd Park, North Portal Estates",124.4417488,2419.8086935,0.0514262756,unemployed,fewer,adults,"more adults in Colonial Village, Shepherd Park, and North Portal Estates would be employed.","A higher share of people are employed in Colonial Village, Shepherd Park, and North Portal Estates than in"
Unemployment rate,Unemployment,2013-17,"Takoma, Brightwood, Manor Park",1084.1167402,12773.865924,0.0848699013,unemployed,fewer,adults,"more adults in Takoma, Brightwood, and Manor Park would be employed.","A higher share of people are employed in Takoma, Brightwood, and Manor Park than in"
Unemployment rate,Unemployment,2013-17,"Brightwood Park, Crestwood, Petworth",1537.5402851,23704.054012,0.0648640222,unemployed,fewer,adults,"more adults in Brightwood Park, Crestwood, and Petworth would be employed.","A higher share of people are employed in Brightwood Park, Crestwood, and Petworth than in"
Unemployment rate,Unemployment,2013-17,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",833.02135228,8070.1278033,0.1032228203,unemployed,fewer,adults,"more adults in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would be employed.","A higher share of people are employed in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
Unemployment rate,Unemployment,2013-17,"North Michigan Park, Michigan Park, University Heights",663.19189644,6627.054173,0.1000734081,unemployed,fewer,adults,"more adults in North Michigan Park, Michigan Park, and University Heights would be employed.","A higher share of people are employed in North Michigan Park, Michigan Park, and University Heights than in"
Unemployment rate,Unemployment,2013-17,"Edgewood, Bloomingdale, Truxton Circle, Eckington",1069.6498576,15972.111508,0.0669698466,unemployed,fewer,adults,"more adults in Edgewood, Bloomingdale, Truxton Circle, and Eckington would be employed.","A higher share of people are employed in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
Unemployment rate,Unemployment,2013-17,"Brookland, Brentwood, Langdon",933.68517612,7878.4940395,0.1185106153,unemployed,fewer,adults,"more adults in Brookland, Brentwood, and Langdon would be employed.","A higher share of people are employed in Brookland, Brentwood, and Langdon than in"
Unemployment rate,Unemployment,2013-17,"Ivy City, Arboretum, Trinidad, Carver Langston",1039.0061741,8427.9567812,0.1232809091,unemployed,fewer,adults,"more adults in Ivy City, Arboretum, Trinidad, and Carver Langston would be employed.","A higher share of people are employed in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
Unemployment rate,Unemployment,2013-17,"Woodridge, Fort Lincoln, Gateway",439.7883263,3986.954289,0.1103068394,unemployed,fewer,adults,"more adults in Woodridge, Fort Lincoln, and Gateway would be employed.","A higher share of people are employed in Woodridge, Fort Lincoln, and Gateway than in"
Unemployment rate,Unemployment,2013-17,"Union Station, Stanton Park, Kingman Park",881.4738381,20131.798381,0.0437851513,unemployed,fewer,adults,"more adults in Union Station, Stanton Park, and Kingman Park would be employed.","A higher share of people are employed in Union Station, Stanton Park, and Kingman Park than in"
Unemployment rate,Unemployment,2013-17,"Capitol Hill, Lincoln Park",907.77510082,17679.292453,0.0513468004,unemployed,fewer,adults,more adults in Capitol Hill and Lincoln Park would be employed.,A higher share of people are employed in Capitol Hill and Lincoln Park than in
Unemployment rate,Unemployment,2013-17,"Near Southeast, Navy Yard",163,3985,0.0409033877,unemployed,fewer,adults,more adults in Near Southeast and Navy Yard would be employed.,A higher share of people are employed in Near Southeast and Navy Yard than in
Unemployment rate,Unemployment,2013-17,Historic Anacostia,338.71590314,2030.7389798,0.1667944066,unemployed,fewer,adults,more adults in Historic Anacostia would be employed.,A higher share of people are employed in Historic Anacostia than in
Unemployment rate,Unemployment,2013-17,"Eastland Gardens, Kenilworth",246.2196319,986.75092025,0.2495256167,unemployed,fewer,adults,more adults in Eastland Gardens and Kenilworth would be employed.,A higher share of people are employed in Eastland Gardens and Kenilworth than in
Unemployment rate,Unemployment,2013-17,"Mayfair, Hillbrook, Mahaning Heights",630.97569406,3486.104232,0.180997369,unemployed,fewer,adults,"more adults in Mayfair, Hillbrook, and Mahaning Heights would be employed.","A higher share of people are employed in Mayfair, Hillbrook, and Mahaning Heights than in"
Unemployment rate,Unemployment,2013-17,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",1251.5750857,6538.5154428,0.191415788,unemployed,fewer,adults,"more adults in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would be employed.","A higher share of people are employed in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
Unemployment rate,Unemployment,2013-17,"River Terrace, Benning, Greenway, Dupont Park",1281.4092431,6607.70502,0.1939265205,unemployed,fewer,adults,"more adults in River Terrace, Benning, Greenway, and Dupont Park would be employed.","A higher share of people are employed in River Terrace, Benning, Greenway, and Dupont Park than in"
Unemployment rate,Unemployment,2013-17,"Capitol View, Marshall Heights, Benning Heights",1550.5783449,9200.2858538,0.1685358879,unemployed,fewer,adults,"more adults in Capitol View, Marshall Heights, and Benning Heights would be employed.","A higher share of people are employed in Capitol View, Marshall Heights, and Benning Heights than in"
Unemployment rate,Unemployment,2013-17,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",1582.0780178,10114.408461,0.1564182447,unemployed,fewer,adults,"more adults in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would be employed.","A higher share of people are employed in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
